,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price
0,Louis Jadot Beaujolais Villages,France,Louis Jadot,"Gamay, Red Wine","Berry, Cherry, Fruity, Spicy",12.7%,"Chicken, Fish - Meaty  Oily, Mushrooms",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.9,108,1299.0
1,Jadot Pouilly Fuisse,France,Louis Jadot,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,4.8,27,2699.0
2,Louis Jadot Bourgogne Pinot Noir,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,20,2062.0
3,90+ Cellars Sauvignon Blanc (Lot 2),New Zealand,90 Cellars,"Sauvignon Blanc, White Wine","Citrus, Guava, Melon - Honeydew",12.5%,"Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,32,1099.0
4,90+ Cellars Pinot Grigio (Lot 42),Italy,90 Cellars,"Pinot Grigio, White Wine","Apple, Floral, Honey",13%,"Cured Meats, Pasta",Standard White Glass,3,Dry Wine,Light,5.0,24,1099.0
5,90+ Cellars Pinot Noir,United States,90 Cellars,"Pinot Noir, Red Wine","Cherry, Chocolate, Floral, Spicy",13%,"Beef, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,21,1299.0
6,90+ Cellars Cabernet Sauvignon Lot 53,Chile,90 Cellars,"Cabernet Sauvignon, Red Wine","Dark Fruit, Berry, Sweet, Velvety",14%,"Beef, Mushrooms",Bordeaux Glass,6,Dry Wine,Full,5.0,18,1099.0
7,90+ Cellars Old Vine Malbec (Lot 23),Argentina,90 Cellars,"Malbec, Red Wine","Berry, Dark Fruit, Spicy",13.9%,"Beef, Lamb",Standard Red Glass,6,Dry Wine,Full,4.7,17,1099.0
8,90+ Chianti Riserva (Lot 144),Italy,90 Cellars,"Red Wine, Sangiovese",,13%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,7,1099.0
9,90+ Cellars Beaujolais Lot 158,France,90 Cellars,"Gamay, Red Wine",,12.5%,"Chicken, Fish - Meaty  Oily, Mushrooms",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,1099.0
