,Country,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,country_code,region,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,age5-19thinness,age5-19obesity,hepatitis,measles,polio,diphtheria,basic_water,doctors,hospitals,gni_capita,gghe-d,che_gdp,une_pop,une_infant,une_life,une_hiv,une_gni,une_poverty,une_edu_spend,une_literacy,une_school,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita,Alcohol_PerCapita
0,Albania,ALB,2000,6.57,5893.136233,3129246,,ALB,Europe,73.0585,18.94168,106.099,0.023635,0.00076,3.91932,25.2,2.2,2.1,96,95,97,97,87.86662,13.821,,4370,2.72347,,3129.243,23,73.955,,3980,,3.43017,,,Central and Eastern Europe,north,4.655,782,4.132,1.1125,1.65,0.675,3.4375
1,Albania,ALB,2005,7.65,8040.878717,3086810,,ALB,Europe,73.4756,18.93037,105.6753,0.018605,0.000565,4.98452,25.6,1.9,3.3,98,97,97,98,87.93683,,,6530,2.67359,,3086.81,17.1,75.228,,5980,1.1,3.28155,,,Central and Eastern Europe,north,4.655,782,4.132,1.1125,1.65,0.675,3.4375
2,Albania,ALB,2010,7.69,10749.48745,2948029,,ALB,Europe,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,,9390,4.47086,,2948.023,11.9,76.562,,9530,,,,,Central and Eastern Europe,north,4.655,782,4.132,1.1125,1.65,0.675,3.4375
3,Albania,ALB,2015,6.74,11878.48809,2890524,Europe,ALB,Europe,76.14651,20.38226,92.23947,0.011165,0.00039,4.53646,26.6,1.3,7.1,99,97,99,99,91.00102,,,,4.43101,,2890.513,8.5,78.025,,11800,,3.43797,,,Central and Eastern Europe,north,4.655,782,4.132,1.1125,1.65,0.675,3.4375
4,Angola,AGO,2000,2.76,4727.966314,16395476,,AGO,Africa,47.3373,14.734,383.5583,0.137985,0.025695,1.47439,21.7,11,0.5,,32,21,31,41.14431,,,2190,1.11099,1.9086,16395.473,122.2,46.522,1,2530,32.3,2.60753,,,Sub-Saharan Africa,south,3.866,577,3.309,2.7125,0.7125,0.5625,3.9875
5,Angola,AGO,2005,4.89,6210.222188,19433604,,AGO,Africa,52.72512,15.75107,322.7077,0.109205,0.018945,3.4864,22.3,10.2,0.8,,21,14,47,46.33602,,,3570,1.27876,2.8522,19433.602,101.3,50.165,1.4,4060,,2.12011,,,Sub-Saharan Africa,south,3.866,577,3.309,2.7125,0.7125,0.5625,3.9875
6,Angola,AGO,2010,8.16,7692.434286,23356247,,AGO,Africa,58.43673,16.68662,269.7017,0.079385,0.012125,6.82834,22.8,9.2,1.4,49,62,56,51,50.37684,,,6230,1.6741,2.6951,23356.246,76,55.35,1.7,5630,,3.42132,,,Sub-Saharan Africa,south,3.866,577,3.309,2.7125,0.7125,0.5625,3.9875
7,Angola,AGO,2015,7.96,8036.410898,27884380,Africa,AGO,Africa,62.22337,17.29135,239.7846,0.060405,0.007975,5.93565,23.2,8.4,2.2,55,51,57,59,54.31693,,,,1.23424,2.60579,27884.381,57.8,59.398,1.9,6740,,,,,Sub-Saharan Africa,south,3.866,577,3.309,2.7125,0.7125,0.5625,3.9875
8,Argentina,ARG,2000,8.75,18625.28355,36870796,,ARG,Americas,73.96855,20.21902,138.5419,0.01817,0.00054,7.67639,26.1,1.2,11.3,,91,88,83,96.21301,,,,4.63411,8.46696,36870.787,17.5,73.576,0.3,11600,5.7,4.58031,,,Latin America and Caribbean,south,6.65,822,12.654,2.4125,0.3125,2.7625,5.4875
9,Argentina,ARG,2005,8.66,19426.44014,38892924,,ARG,Americas,75.10809,20.62226,124.8681,0.0145,0.00046,7.6,26.6,1.1,12.9,88,98,95,98,97.40218,,,,3.9134,7.61084,38892.931,14.8,74.451,0.3,12340,3.7,3.86001,,,Latin America and Caribbean,south,6.65,822,12.654,2.4125,0.3125,2.7625,5.4875
10,Argentina,ARG,2010,9.09,23521.27018,40895751,,ARG,Americas,75.69685,20.96599,118.6872,0.01331,0.000405,8.15,27.1,1,14.6,94,95,95,94,98.46806,,,,5.56835,8.61366,40895.752,12.9,75.278,0.4,17890,2.2,5.01971,98.95497,10.69098,Latin America and Caribbean,south,6.65,822,12.654,2.4125,0.3125,2.7625,5.4875
11,Argentina,ARG,2015,9.55,23933.88661,43075416,South America,ARG,Americas,76.76776,21.72146,112.7406,0.010255,0.00033,8.42597,27.6,0.9,16.5,94,89,93,94,99.07014,,,,6.82437,8.7885,43075.416,10.2,76.068,0.4,20170,,5.77611,99.17996,10.9999,Latin America and Caribbean,south,6.65,822,12.654,2.4125,0.3125,2.7625,5.4875
12,Armenia,ARM,2000,4.23,4048.249904,3069597,,ARM,Europe,71.70554,18.66063,143.4126,0.03129,0.000975,2.91323,25.7,2.2,2.6,55,92,96,93,95.13351,27.007,,2380,0.95468,4.1958,3069.591,27.1,71.409,0.1,2390,,2.77273,,,Central and Eastern Europe,north,4.36,749,3.606,0.2625,2.2375,0.1375,2.6375
13,Armenia,ARM,2005,5.79,7419.87119,2981262,,ARM,Europe,72.65824,18.56986,139.6523,0.020075,0.000725,4.16688,25.8,2,2.8,91,94,92,90,96.6573,25.643,,4850,1.47841,5.86188,2981.269,21.3,72.626,0.1,4970,4.5,2.71203,,,Central and Eastern Europe,north,4.36,749,3.606,0.2625,2.2375,0.1375,2.6375
14,Armenia,ARM,2010,5.69,9286.197327,2877314,,ARM,Europe,73.25064,18.89991,137.9296,0.016305,0.000515,4.22828,26,2,3.5,94,97,96,94,98.26605,28.419,,6620,1.68629,9.23539,2877.319,16.5,73.331,0.2,6890,1.9,3.249,,,Central and Eastern Europe,north,4.36,749,3.606,0.2625,2.2375,0.1375,2.6375
15,Armenia,ARM,2015,5.84,11321.33254,2925559,Asia,ARM,Europe,74.57723,19.50038,121.2919,0.01289,0.00038,4.03745,26.3,2.1,4.6,94,97,96,94,99.73441,29.143,,,1.61021,10.11763,2925.553,12.8,74.467,0.2,9090,1.9,2.80591,,11.69998,Central and Eastern Europe,north,4.36,749,3.606,0.2625,2.2375,0.1375,2.6375
16,Australia,AUS,2000,11.72,38343.00215,18991434,,AUS,Western Pacific,79.64923,23.08433,76.93143,0.005185,0.0003,10.17,26.2,0.7,9.4,,91,90,90,99.7123,,,25580,5.20626,7.61387,18991.431,5.1,79.23415,0.1,25570,,4.89147,,,Australia and New Zealand,south,7.313,938,49.897,3.2625,0.9,2.65,6.8125
17,Australia,AUS,2005,12.08,42217.13635,20178543,,AUS,Western Pacific,80.96873,24.03159,68.12927,0.00469,0.000225,10.3,26.7,0.7,10.6,95,94,92,92,99.77814,27.794,,31380,5.46539,7.99012,20178.54,4.8,80.84146,0.1,31360,,4.9103,,11.86393,Australia and New Zealand,south,7.313,938,49.897,3.2625,0.9,2.65,6.8125
