,Country,Capital,lat,lng,wine,spirits,beer,region,Code
1,Afghanistan,Kabul,34.575503,69.240073,,,,Eastern Mediterranean,AFG
3,Albania,Tirana,41.327546,19.818698,,,,Europe,ALB
4,Algeria,Algiers,36.752887,3.042048,,,,Africa,DZA
7,Angola,Luanda,-8.839988,13.289437,,,,Africa,AGO
10,Antigua and Barbuda,St. John's,17.12741,-61.846772,,,,Americas,ATG
11,Argentina,Buenos Aires,-34.603684,-58.381559,28.0,1.0,,Americas,ARG
12,Armenia,Yerevan,40.179186,44.499103,,,,Europe,ARM
14,Australia,Canberra,-35.282,149.128684,9.0,1.0,,Western Pacific,AUS
15,Austria,Vienna,48.208174,16.373819,,2.0,,Europe,AUT
16,Azerbaijan,Baku,40.409262,49.867092,,,,Europe,AZE
17,Bahamas,Nassau,25.047984,-77.355413,,1.0,,Americas,BHS
18,Bahrain,Manama,26.228516,50.58605,,,,Eastern Mediterranean,BHR
19,Bangladesh,Dhaka,23.810332,90.412518,,,,South-East Asia,BGD
20,Barbados,Bridgetown,13.113222,-59.598809,,29.0,,Americas,BRB
21,Belarus,Minsk,53.90454,27.561524,,,,Europe,BLR
22,Belgium,Brussels,50.85034,4.35171,,3.0,,Europe,BEL
23,Belize,Belmopan,17.251011,-88.75902,,,,Americas,BLZ
24,Benin,Porto-Novo,6.496857,2.628852,,,,Africa,BEN
26,Bhutan,Thimphu,27.472792,89.639286,,,,South-East Asia,BTN
28,Bosnia and Herzegovina,Sarajevo,43.856259,18.413076,,,,Europe,BIH
29,Botswana,Gaborone,-24.628208,25.923147,,,,Africa,BWA
31,Brazil,Brasília,-15.794229,-47.882166,,4.0,,Americas,BRA
35,Bulgaria,Sofia,42.697708,23.321868,,,,Europe,BGR
36,Burkina Faso,Ouagadougou,12.371428,-1.51966,,,,Africa,BFA
37,Burundi,Bujumbura,-3.361378,29.359878,,,,Africa,BDI
38,Cambodia,Phnom Penh,11.544873,104.892167,,,,Western Pacific,KHM
39,Cameroon,Yaoundé,3.848033,11.502075,,,,Africa,CMR
40,Canada,Ottawa,45.42153,-75.697193,,69.0,,Americas,CAN
43,Central African Republic,Bangui,4.394674,18.55819,,,,Africa,CAF
44,Chad,N'Djamena,12.134846,15.055742,,,,Africa,TCD
45,Chile,Santiago,-33.44889,-70.669265,14.0,3.0,,Americas,CHL
46,China,Beijing,39.904211,116.407395,,2.0,,Western Pacific,CHN
49,Colombia,Bogotá,4.710989,-74.072092,,5.0,,Americas,COL
50,Comoros,Moroni,-11.717216,43.247315,,,,Africa,COM
